 ,S = 16,Size(N) = 500000
 ,Merge, , ,Hybrid
 ,Key Comparisons, Time taken(ms), ,Key Comparisons, Time taken(ms)
 ,8730270,12402.5554, ,9500654,88.658
 ,8729961,13739.295699999999, ,9503708,62.3431
 ,8728873,13803.4952, ,9507285,47.3009
 ,8730237,13792.114099999999, ,9506822,48.4653
 ,8729187,13775.0289, ,9503459,43.5552
 ,8729456,13773.098899999999, ,9506606,38.390499999999996
 ,8728962,13756.6173, ,9504167,38.0779
 ,8728459,13751.6688, ,9504194,37.9659
 ,8729817,13757.3977, ,9503193,38.4961
 ,8729830,13833.7523, ,9504987,39.8913

Average,8729505,13638.502429999999, ,9504507,48.31442
